n,gamma,k,seed,alpha,beta,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,8,0.45,0.7,independent,Nominal,3290.61932289483,3302.3706085887,3008.69416099464,3028.42337448158,2785.28103726681,0,121,60,0
60,0.5,30,8,0.45,0.7,independent,CR-SHP,2766.33021059086,3302.3706085887,3008.69416099464,3028.42337448158,2785.28103726681,0,121,60,0
60,0.5,30,8,0.45,0.7,independent,CVaR-CR-SHP,1971.07000580634,2361.53342250038,2281.48007679195,2286.0921082557,2174.2400163543,940.837186088317,121,60,22
60,0.5,30,8,0.45,0.7,independent,Mixed,2230.01653204548,3228.21888420365,2949.73005374484,2968.18980308453,2708.11785911115,74.1517243850544,121,60,2
60,0.5,30,8,0.45,0.7,gaussian06,Nominal,3290.61932289483,3032.61755220884,1542.34602261684,1547.96965681132,1287.24985501461,0,121,60,0
60,0.5,30,8,0.45,0.7,gaussian06,CR-SHP,2766.33021059086,3032.61755220884,1542.34602261684,1547.96965681132,1287.24985501461,0,121,60,0
60,0.5,30,8,0.45,0.7,gaussian06,CVaR-CR-SHP,1971.07000580634,2277.63097093408,1906.9280099708,1909.97846537249,1818.0948012984,754.986581274766,121,60,22
60,0.5,30,8,0.45,0.7,gaussian06,Mixed,2230.01653204548,2972.3515667027,1591.15360335238,1601.41329393573,1345.69812298983,60.2659855061474,121,60,2
60,0.5,30,8,0.45,0.7,comonotone,Nominal,3290.61932289483,2750.03508766099,1287.24985501461,1287.24985501461,1287.24985501461,0,121,60,0
60,0.5,30,8,0.45,0.7,comonotone,CR-SHP,2766.33021059086,2750.03508766099,1287.24985501461,1287.24985501461,1287.24985501461,0,121,60,0
60,0.5,30,8,0.45,0.7,comonotone,CVaR-CR-SHP,1971.07000580634,2173.75274101782,1818.0948012984,1818.0948012984,1818.0948012984,576.282346643168,121,60,22
60,0.5,30,8,0.45,0.7,comonotone,Mixed,2230.01653204548,2704.10069515353,1345.69812298983,1345.69812298983,1345.69812298983,45.93439250746,121,60,2
60,0.5,30,8,0.45,0.7,t_copula06,Nominal,3290.61932289483,3008.35408804723,1500.78839079029,1498.5242801144,1287.24985501461,0,121,60,0
60,0.5,30,8,0.45,0.7,t_copula06,CR-SHP,2766.33021059086,3008.35408804723,1500.78839079029,1498.5242801144,1287.24985501461,0,121,60,0
60,0.5,30,8,0.45,0.7,t_copula06,CVaR-CR-SHP,1971.07000580634,2272.67604678284,1891.95401791854,1891.8828203155,1818.0948012984,735.678041264381,121,60,22
60,0.5,30,8,0.45,0.7,t_copula06,Mixed,2230.01653204548,2949.55131589894,1549.77564880544,1548.16559372608,1345.69812298983,58.8027721482881,121,60,2
60,0.5,30,8,0.45,0.7,adverse,Nominal,3290.61932289483,2766.33021059086,1287.24985501461,1287.24985501461,1287.24985501461,0,121,60,0
60,0.5,30,8,0.45,0.7,adverse,CR-SHP,2766.33021059086,2766.33021059086,1287.24985501461,1287.24985501461,1287.24985501461,0,121,60,0
60,0.5,30,8,0.45,0.7,adverse,CVaR-CR-SHP,1971.07000580634,2174.48990108612,1818.0948012984,1818.0948012984,1818.0948012984,591.840309504736,121,60,22
