n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
100,0.2,20,9,comonotone,Mixed,1799.70547954367,1992.22366216423,1389.24396780631,1389.24396780631,1389.24396780631,0,201,2,0
100,0.2,20,9,t_copula06,Nominal,2210.06701791346,2106.10864624259,1537.36033391248,1543.21751465322,1389.24396780631,0,201,2,0
100,0.2,20,9,t_copula06,CR-SHP,1968.67400998979,2106.10864624259,1537.36033391248,1543.21751465322,1389.24396780631,0,201,2,0
100,0.2,20,9,t_copula06,CVaR-CR-SHP,1424.62277254351,1424.62277254347,1424.62277254351,1424.62277254351,1424.62277254351,681.485873699119,201,2,20
100,0.2,20,9,t_copula06,Mixed,1799.70547954367,2106.10864624259,1537.36033391248,1543.21751465322,1389.24396780631,0,201,2,0
100,0.2,20,10,independent,Nominal,2216.56876100287,2220.91168879259,2105.64356721934,2113.77968736455,2000.38024523473,0,201,1,0
100,0.2,20,10,independent,CR-SHP,1959.67069980859,2220.91168879259,2105.64356721934,2113.77968736455,2000.38024523473,0,201,1,0
100,0.2,20,10,independent,CVaR-CR-SHP,1427.78280859072,2220.91168879259,2105.64356721934,2113.77968736455,2000.38024523473,0,201,1,0
100,0.2,20,10,independent,Mixed,1822.1757847968,2220.91168879259,2105.64356721934,2113.77968736455,2000.38024523473,0,201,1,0
100,0.2,20,10,gaussian06,Nominal,2216.56876100287,2097.63105269045,1542.91032575215,1545.49419260407,1427.78280859072,0,201,1,0
100,0.2,20,10,gaussian06,CR-SHP,1959.67069980859,2097.63105269045,1542.91032575215,1545.49419260407,1427.78280859072,0,201,1,0
100,0.2,20,10,gaussian06,CVaR-CR-SHP,1427.78280859072,2097.63105269045,1542.91032575215,1545.49419260407,1427.78280859072,0,201,1,0
100,0.2,20,10,gaussian06,Mixed,1822.1757847968,2097.63105269045,1542.91032575215,1545.49419260407,1427.78280859072,0,201,1,0
100,0.2,20,10,comonotone,Nominal,2216.56876100287,1968.31322407911,1427.78280859072,1427.78280859072,1427.78280859072,0,201,1,0
100,0.2,20,10,comonotone,CR-SHP,1959.67069980859,1968.31322407911,1427.78280859072,1427.78280859072,1427.78280859072,0,201,1,0
100,0.2,20,10,comonotone,CVaR-CR-SHP,1427.78280859072,1968.31322407911,1427.78280859072,1427.78280859072,1427.78280859072,0,201,1,0
100,0.2,20,10,comonotone,Mixed,1822.1757847968,1968.31322407911,1427.78280859072,1427.78280859072,1427.78280859072,0,201,1,0
100,0.2,20,10,t_copula06,Nominal,2216.56876100287,2103.77492974602,1529.1931218014,1526.41981611654,1427.78280859072,0,201,1,0
100,0.2,20,10,t_copula06,CR-SHP,1959.67069980859,2103.77492974602,1529.1931218014,1526.41981611654,1427.78280859072,0,201,1,0
100,0.2,20,10,t_copula06,CVaR-CR-SHP,1427.78280859072,2103.77492974602,1529.1931218014,1526.41981611654,1427.78280859072,0,201,1,0
100,0.2,20,10,t_copula06,Mixed,1822.1757847968,2103.77492974602,1529.1931218014,1526.41981611654,1427.78280859072,0,201,1,0
100,0.5,50,1,independent,Nominal,4837.01986968011,4836.90213237817,4587.29117489651,4602.27854396189,4335.60276893629,0,201,1,0
100,0.5,50,1,independent,CR-SHP,4451.31121328269,4836.90213237817,4587.29117489651,4602.27854396189,4335.60276893629,0,201,1,0
100,0.5,50,1,independent,CVaR-CR-SHP,3309.05324124219,3309.05324124219,3309.05324124219,3309.05324124219,3309.05324124219,1527.84889113598,201,1,50
100,0.5,50,1,independent,Mixed,3984.63269008361,4836.90213237817,4587.29117489651,4602.27854396189,4335.60276893629,0,201,1,0
100,0.5,50,1,gaussian06,Nominal,4837.01986968011,4651.66939998604,3340.16037075069,3348.64905152114,3132.24551048712,0,201,1,0
100,0.5,50,1,gaussian06,CR-SHP,4451.31121328269,4651.66939998604,3340.16037075069,3348.64905152114,3132.24551048712,0,201,1,0
100,0.5,50,1,gaussian06,CVaR-CR-SHP,3309.05324124219,3309.05324124219,3309.05324124219,3309.05324124219,3309.05324124219,1342.61615874386,201,1,50
100,0.5,50,1,gaussian06,Mixed,3984.63269008361,4651.66939998604,3340.16037075069,3348.64905152114,3132.24551048712,0,201,1,0
100,0.5,50,1,comonotone,Nominal,4837.01986968011,4472.32179190249,3132.24551048712,3132.24551048712,3132.24551048712,0,201,1,0
100,0.5,50,1,comonotone,CR-SHP,4451.31121328269,4472.32179190249,3132.24551048712,3132.24551048712,3132.24551048712,0,201,1,0
